FormulaName	TargetTable	TargetColumn	Stage	Template
HSE_TO_AGR_Bypass_SOR_EBenzene_mass	CalcResult_FlaringThermaloxidizer	EBenzene_mass	AGR	HSE_TO_AGR_{mode}_{type}_EBenzene_mass
HSE_TO_AGR_Bypass_SOR_EC_CH4_gsec	CalcResult_FlaringThermaloxidizer	EC_CH4_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_CH4_gsec
HSE_TO_AGR_Bypass_SOR_EC_CH4_tonn	CalcResult_FlaringThermaloxidizer	EC_CH4_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_CH4_tonn
HSE_TO_AGR_Bypass_SOR_EC_CO_gsec	CalcResult_FlaringThermaloxidizer	EC_CO_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_CO_gsec
HSE_TO_AGR_Bypass_SOR_EC_CO_tonn	CalcResult_FlaringThermaloxidizer	EC_CO_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_CO_tonn
HSE_TO_AGR_Bypass_SOR_EC_NO2_gsec	CalcResult_FlaringThermaloxidizer	EC_NO2_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO2_gsec
HSE_TO_AGR_Bypass_SOR_EC_NO2_tonn	CalcResult_FlaringThermaloxidizer	EC_NO2_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO2_tonn
HSE_TO_AGR_Bypass_SOR_EC_NO_gsec	CalcResult_FlaringThermaloxidizer	EC_NO_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO_gsec
HSE_TO_AGR_Bypass_SOR_EC_NO_tonn	CalcResult_FlaringThermaloxidizer	EC_NO_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO_tonn
HSE_TO_AGR_Bypass_SOR_EC_SO2_gsec	CalcResult_FlaringThermaloxidizer	EC_SO2_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_SO2_gsec
HSE_TO_AGR_Bypass_SOR_EC_SO2_tonn	CalcResult_FlaringThermaloxidizer	EC_SO2_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_SO2_tonn
HSE_TO_AGR_Bypass_SOR_EMercaptan	CalcResult_FlaringThermaloxidizer	EMercaptan	AGR	HSE_TO_AGR_{mode}_{type}_EMercaptan
HSE_TO_AGR_Bypass_SOR_EMercaptan_mass	CalcResult_FlaringThermaloxidizer	EMercaptan_mass	AGR	HSE_TO_AGR_{mode}_{type}_EMercaptan_mass
HSE_TO_AGR_Bypass_SOR_Ethane	CalcResult_FlaringThermaloxidizer	Ethane	AGR	HSE_TO_AGR_{mode}_{type}_Ethane
HSE_TO_AGR_Bypass_SOR_Ethane_mass	CalcResult_FlaringThermaloxidizer	Ethane_mass	AGR	HSE_TO_AGR_{mode}_{type}_Ethane_mass
HSE_TO_AGR_Bypass_SOR_H2	CalcResult_FlaringThermaloxidizer	H2	AGR	HSE_TO_AGR_{mode}_{type}_H2
HSE_TO_AGR_Bypass_SOR_H2O	CalcResult_FlaringThermaloxidizer	H2O	AGR	HSE_TO_AGR_{mode}_{type}_H2O
HSE_TO_AGR_Bypass_SOR_H2O_mass	CalcResult_FlaringThermaloxidizer	H2O_mass	AGR	HSE_TO_AGR_{mode}_{type}_H2O_mass
HSE_TO_AGR_Bypass_SOR_H2S	CalcResult_FlaringThermaloxidizer	H2S	AGR	HSE_TO_AGR_{mode}_{type}_H2S
HSE_TO_AGR_Bypass_SOR_H2S_mass	CalcResult_FlaringThermaloxidizer	H2S_mass	AGR	HSE_TO_AGR_{mode}_{type}_H2S_mass
HSE_TO_AGR_Bypass_SOR_H2_mass	CalcResult_FlaringThermaloxidizer	H2_mass	AGR	HSE_TO_AGR_{mode}_{type}_H2_mass
HSE_TO_AGR_Bypass_SOR_Helium	CalcResult_FlaringThermaloxidizer	Helium	AGR	HSE_TO_AGR_{mode}_{type}_Helium
HSE_TO_AGR_Bypass_SOR_Helium_mass	CalcResult_FlaringThermaloxidizer	Helium_mass	AGR	HSE_TO_AGR_{mode}_{type}_Helium_mass
HSE_TO_AGR_Bypass_SOR_IC4_1	CalcResult_FlaringThermaloxidizer	IC4_1	AGR	HSE_TO_AGR_{mode}_{type}_IC4_1
HSE_TO_AGR_Bypass_SOR_IC4_1_mass	CalcResult_FlaringThermaloxidizer	IC4_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_IC4_1_mass
HSE_TO_AGR_Bypass_SOR_IC5_1	CalcResult_FlaringThermaloxidizer	IC5_1	AGR	HSE_TO_AGR_{mode}_{type}_IC5_1
HSE_TO_AGR_Bypass_SOR_IC5_1_mass	CalcResult_FlaringThermaloxidizer	IC5_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_IC5_1_mass
HSE_TO_AGR_Bypass_SOR_MMercaptan	CalcResult_FlaringThermaloxidizer	MMercaptan	AGR	HSE_TO_AGR_{mode}_{type}_MMercaptan
HSE_TO_AGR_Bypass_SOR_MMercaptan_mass	CalcResult_FlaringThermaloxidizer	MMercaptan_mass	AGR	HSE_TO_AGR_{mode}_{type}_MMercaptan_mass
HSE_TO_AGR_Bypass_SOR_Methane	CalcResult_FlaringThermaloxidizer	Methane	AGR	HSE_TO_AGR_{mode}_{type}_Methane
HSE_TO_AGR_Bypass_SOR_Methane_mass	CalcResult_FlaringThermaloxidizer	Methane_mass	AGR	HSE_TO_AGR_{mode}_{type}_Methane_mass
HSE_TO_AGR_Bypass_SOR_Methanol	CalcResult_FlaringThermaloxidizer	Methanol	AGR	HSE_TO_AGR_{mode}_{type}_Methanol
HSE_TO_AGR_Bypass_SOR_Methanol_mass	CalcResult_FlaringThermaloxidizer	Methanol_mass	AGR	HSE_TO_AGR_{mode}_{type}_Methanol_mass
HSE_TO_AGR_Bypass_SOR_MolecularWeight	CalcResult_FlaringThermaloxidizer	MolecularWeight	AGR	HSE_TO_AGR_{mode}_{type}_MolecularWeight
HSE_TO_AGR_Bypass_SOR_NC4_1	CalcResult_FlaringThermaloxidizer	NC4_1	AGR	HSE_TO_AGR_{mode}_{type}_NC4_1
HSE_TO_AGR_Bypass_SOR_NC4_1_mass	CalcResult_FlaringThermaloxidizer	NC4_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_NC4_1_mass
HSE_TO_AGR_Bypass_SOR_NC5_1	CalcResult_FlaringThermaloxidizer	NC5_1	AGR	HSE_TO_AGR_{mode}_{type}_NC5_1
HSE_TO_AGR_Bypass_SOR_NC5_1_mass	CalcResult_FlaringThermaloxidizer	NC5_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_NC5_1_mass
HSE_TO_AGR_Bypass_SOR_NH3	CalcResult_FlaringThermaloxidizer	NH3	AGR	HSE_TO_AGR_{mode}_{type}_NH3
HSE_TO_AGR_Bypass_SOR_NH3_mass	CalcResult_FlaringThermaloxidizer	NH3_mass	AGR	HSE_TO_AGR_{mode}_{type}_NH3_mass
HSE_TO_AGR_Bypass_SOR_Nitrogen	CalcResult_FlaringThermaloxidizer	Nitrogen	AGR	HSE_TO_AGR_{mode}_{type}_Nitrogen
HSE_TO_AGR_Bypass_SOR_Nitrogen_mass	CalcResult_FlaringThermaloxidizer	Nitrogen_mass	AGR	HSE_TO_AGR_{mode}_{type}_Nitrogen_mass
HSE_TO_AGR_Bypass_SOR_O2	CalcResult_FlaringThermaloxidizer	O2	AGR	HSE_TO_AGR_{mode}_{type}_O2
HSE_TO_AGR_Bypass_SOR_O2_mass	CalcResult_FlaringThermaloxidizer	O2_mass	AGR	HSE_TO_AGR_{mode}_{type}_O2_mass
HSE_TO_AGR_Bypass_SOR_Propane	CalcResult_FlaringThermaloxidizer	Propane	AGR	HSE_TO_AGR_{mode}_{type}_Propane
HSE_TO_AGR_Bypass_SOR_Propane_mass	CalcResult_FlaringThermaloxidizer	Propane_mass	AGR	HSE_TO_AGR_{mode}_{type}_Propane_mass
HSE_TO_AGR_Bypass_SOR_SO2	CalcResult_FlaringThermaloxidizer	SO2	AGR	HSE_TO_AGR_{mode}_{type}_SO2
HSE_TO_AGR_Bypass_SOR_SO2_mass	CalcResult_FlaringThermaloxidizer	SO2_mass	AGR	HSE_TO_AGR_{mode}_{type}_SO2_mass
HSE_TO_AGR_Bypass_SOR_Sr	CalcResult_FlaringThermaloxidizer	Sr	AGR	HSE_TO_AGR_{mode}_{type}_Sr
HSE_TO_AGR_Bypass_SOR_Sulfur	CalcResult_FlaringThermaloxidizer	Sulfur	AGR	HSE_TO_AGR_{mode}_{type}_Sulfur
HSE_TO_AGR_Bypass_SOR_Sulfur_mass	CalcResult_FlaringThermaloxidizer	Sulfur_mass	AGR	HSE_TO_AGR_{mode}_{type}_Sulfur_mass
HSE_TO_AGR_Bypass_SOR_SumMCmHn	CalcResult_FlaringThermaloxidizer	SumMCmHn	AGR	HSE_TO_AGR_{mode}_{type}_SumMCmHn
HSE_TO_AGR_Bypass_SOR_SumMNCmHn	CalcResult_FlaringThermaloxidizer	Summn4CmHn	AGR	HSE_TO_AGR_{mode}_{type}_SumMNCmHn
HSE_TO_AGR_Bypass_SOR_SumNCmHn	CalcResult_FlaringThermaloxidizer	SumNCmHn	AGR	HSE_TO_AGR_{mode}_{type}_SumNCmHn
HSE_TO_AGR_Bypass_SOR_Toluene	CalcResult_FlaringThermaloxidizer	Toluene	AGR	HSE_TO_AGR_{mode}_{type}_Toluene
HSE_TO_AGR_Bypass_SOR_Toluene_mass	CalcResult_FlaringThermaloxidizer	Toluene_mass	AGR	HSE_TO_AGR_{mode}_{type}_Toluene_mass
HSE_TO_AGR_Bypass_SOR_TotalSumComposition	CalcResult_FlaringThermaloxidizer	TotalSumComposition	AGR	HSE_TO_AGR_{mode}_{type}_TotalSumComposition
HSE_TO_AGR_Bypass_SOR_TotalSumComposition_mass	CalcResult_FlaringThermaloxidizer	TotalSumComposition_mass	AGR	HSE_TO_AGR_{mode}_{type}_TotalSumComposition_mass
HSE_TO_AGR_Bypass_SOR_Vo	CalcResult_FlaringThermaloxidizer	Vo	AGR	HSE_TO_AGR_{mode}_{type}_Vo
HSE_TO_AGR_Bypass_SOR_VoH2O	CalcResult_FlaringThermaloxidizer	VoH2O	AGR	HSE_TO_AGR_{mode}_{type}_VoH2O
HSE_TO_AGR_Bypass_SOR_Vog	CalcResult_FlaringThermaloxidizer	Vog	AGR	HSE_TO_AGR_{mode}_{type}_Vog
HSE_TO_AGR_Bypass_SOR_Vwdg	CalcResult_FlaringThermaloxidizer	Vwdg	AGR	HSE_TO_AGR_{mode}_{type}_Vwdg
HSE_TO_AGR_Bypass_SOR_nBMercaptan	CalcResult_FlaringThermaloxidizer	nBMercaptan	AGR	HSE_TO_AGR_{mode}_{type}_nBMercaptan
HSE_TO_AGR_Bypass_SOR_nBMercaptan_mass	CalcResult_FlaringThermaloxidizer	nBMercaptan_mass	AGR	HSE_TO_AGR_{mode}_{type}_nBMercaptan_mass
HSE_TO_AGR_Bypass_SOR_nPMercaptan	CalcResult_FlaringThermaloxidizer	nPMercaptan	AGR	HSE_TO_AGR_{mode}_{type}_nPMercaptan
HSE_TO_AGR_Bypass_SOR_nPMercaptan_mass	CalcResult_FlaringThermaloxidizer	nPMercaptan_mass	AGR	HSE_TO_AGR_{mode}_{type}_nPMercaptan_mass
HSE_TO_AGR_Bypass_SOR_pXylene	CalcResult_FlaringThermaloxidizer	pXylene	AGR	HSE_TO_AGR_{mode}_{type}_pXylene
HSE_TO_AGR_Bypass_SOR_pXylene_mass	CalcResult_FlaringThermaloxidizer	pXylene_mass	AGR	HSE_TO_AGR_{mode}_{type}_pXylene_mass
HSE_TO_AGR_Bypass_Volume	CalcResult_FlaringThermaloxidizer	Volume	AGR	HSE_TO_AGR_{mode}_Volume
HSE_TO_AGR_Normal_EOR_Benzene	CalcResult_FlaringThermaloxidizer	Benzene	AGR	HSE_TO_AGR_{mode}_{type}_Benzene
HSE_TO_AGR_Normal_EOR_Benzene_mass	CalcResult_FlaringThermaloxidizer	Benzene_mass	AGR	HSE_TO_AGR_{mode}_{type}_Benzene_mass
HSE_TO_AGR_Normal_EOR_C10_1	CalcResult_FlaringThermaloxidizer	C10_1	AGR	HSE_TO_AGR_{mode}_{type}_C10_1
HSE_TO_AGR_Normal_EOR_C10_1_mass	CalcResult_FlaringThermaloxidizer	C10_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C10_1_mass
HSE_TO_AGR_Normal_EOR_C11_1	CalcResult_FlaringThermaloxidizer	C11_1	AGR	HSE_TO_AGR_{mode}_{type}_C11_1
HSE_TO_AGR_Normal_EOR_C11_1_mass	CalcResult_FlaringThermaloxidizer	C11_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C11_1_mass
HSE_TO_AGR_Normal_EOR_C12_1	CalcResult_FlaringThermaloxidizer	C12_1	AGR	HSE_TO_AGR_{mode}_{type}_C12_1
HSE_TO_AGR_Normal_EOR_C12_1_mass	CalcResult_FlaringThermaloxidizer	C12_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C12_1_mass
HSE_TO_AGR_Normal_EOR_C13_1	CalcResult_FlaringThermaloxidizer	C13_1	AGR	HSE_TO_AGR_{mode}_{type}_C13_1
HSE_TO_AGR_Normal_EOR_C13_1_mass	CalcResult_FlaringThermaloxidizer	C13_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C13_1_mass
HSE_TO_AGR_Normal_EOR_C14_1	CalcResult_FlaringThermaloxidizer	C14_1	AGR	HSE_TO_AGR_{mode}_{type}_C14_1
HSE_TO_AGR_Normal_EOR_C14_1_mass	CalcResult_FlaringThermaloxidizer	C14_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C14_1_mass
HSE_TO_AGR_Normal_EOR_C2H6S	CalcResult_FlaringThermaloxidizer	C2H6S	AGR	HSE_TO_AGR_{mode}_{type}_C2H6S
HSE_TO_AGR_Normal_EOR_C2H6S2	CalcResult_FlaringThermaloxidizer	C2H6S2	AGR	HSE_TO_AGR_{mode}_{type}_C2H6S2
HSE_TO_AGR_Normal_EOR_C2H6S2_mass	CalcResult_FlaringThermaloxidizer	C2H6S2_mass	AGR	HSE_TO_AGR_{mode}_{type}_C2H6S2_mass
HSE_TO_AGR_Normal_EOR_C2H6S_mass	CalcResult_FlaringThermaloxidizer	C2H6S_mass	AGR	HSE_TO_AGR_{mode}_{type}_C2H6S_mass
HSE_TO_AGR_Normal_EOR_C2H7NO	CalcResult_FlaringThermaloxidizer	C2H7NO	AGR	HSE_TO_AGR_{mode}_{type}_C2H7NO
HSE_TO_AGR_Normal_EOR_C2H7NO_mass	CalcResult_FlaringThermaloxidizer	C2H7NO_mass	AGR	HSE_TO_AGR_{mode}_{type}_C2H7NO_mass
HSE_TO_AGR_Normal_EOR_C3H8S2	CalcResult_FlaringThermaloxidizer	C3H8S2	AGR	HSE_TO_AGR_{mode}_{type}_C3H8S2
HSE_TO_AGR_Normal_EOR_C3H8S2_mass	CalcResult_FlaringThermaloxidizer	C3H8S2_mass	AGR	HSE_TO_AGR_{mode}_{type}_C3H8S2_mass
HSE_TO_AGR_Normal_EOR_C4H10S2	CalcResult_FlaringThermaloxidizer	C4H10S2	AGR	HSE_TO_AGR_{mode}_{type}_C4H10S2
HSE_TO_AGR_Normal_EOR_C4H10S2_mass	CalcResult_FlaringThermaloxidizer	C4H10S2_mass	AGR	HSE_TO_AGR_{mode}_{type}_C4H10S2_mass
HSE_TO_AGR_Normal_EOR_C6_1	CalcResult_FlaringThermaloxidizer	C6_1	AGR	HSE_TO_AGR_{mode}_{type}_C6_1
HSE_TO_AGR_Normal_EOR_C6_1_mass	CalcResult_FlaringThermaloxidizer	C6_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C6_1_mass
HSE_TO_AGR_Normal_EOR_C7_1	CalcResult_FlaringThermaloxidizer	C7_1	AGR	HSE_TO_AGR_{mode}_{type}_C7_1
HSE_TO_AGR_Normal_EOR_C7_1_mass	CalcResult_FlaringThermaloxidizer	C7_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C7_1_mass
HSE_TO_AGR_Normal_EOR_C8_1	CalcResult_FlaringThermaloxidizer	C8_1	AGR	HSE_TO_AGR_{mode}_{type}_C8_1
HSE_TO_AGR_Normal_EOR_C8_1_mass	CalcResult_FlaringThermaloxidizer	C8_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C8_1_mass
HSE_TO_AGR_Normal_EOR_C9_1	CalcResult_FlaringThermaloxidizer	C9_1	AGR	HSE_TO_AGR_{mode}_{type}_C9_1
HSE_TO_AGR_Normal_EOR_C9_1_mass	CalcResult_FlaringThermaloxidizer	C9_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C9_1_mass
HSE_TO_AGR_Normal_EOR_CN1_2	CalcResult_FlaringThermaloxidizer	CN1_2	AGR	HSE_TO_AGR_{mode}_{type}_CN1_2
HSE_TO_AGR_Normal_EOR_CN1_2_mass	CalcResult_FlaringThermaloxidizer	CN1_2_mass	AGR	HSE_TO_AGR_{mode}_{type}_CN1_2_mass
HSE_TO_AGR_Normal_EOR_CN2_2	CalcResult_FlaringThermaloxidizer	CN2_2	AGR	HSE_TO_AGR_{mode}_{type}_CN2_2
HSE_TO_AGR_Normal_EOR_CN2_2_mass	CalcResult_FlaringThermaloxidizer	CN2_2_mass	AGR	HSE_TO_AGR_{mode}_{type}_CN2_2_mass
HSE_TO_AGR_Normal_EOR_CN3_1	CalcResult_FlaringThermaloxidizer	CN3_1	AGR	HSE_TO_AGR_{mode}_{type}_CN3_1
HSE_TO_AGR_Normal_EOR_CN3_1_mass	CalcResult_FlaringThermaloxidizer	CN3_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_CN3_1_mass
HSE_TO_AGR_Normal_EOR_CO	CalcResult_FlaringThermaloxidizer	CO	AGR	HSE_TO_AGR_{mode}_{type}_CO
HSE_TO_AGR_Normal_EOR_CO2	CalcResult_FlaringThermaloxidizer	CO2	AGR	HSE_TO_AGR_{mode}_{type}_CO2
HSE_TO_AGR_Normal_EOR_CO2_mass	CalcResult_FlaringThermaloxidizer	CO2_mass	AGR	HSE_TO_AGR_{mode}_{type}_CO2_mass
HSE_TO_AGR_Normal_EOR_COS	CalcResult_FlaringThermaloxidizer	COS	AGR	HSE_TO_AGR_{mode}_{type}_COS
HSE_TO_AGR_Normal_EOR_COS_mass	CalcResult_FlaringThermaloxidizer	COS_mass	AGR	HSE_TO_AGR_{mode}_{type}_COS_mass
HSE_TO_AGR_Normal_EOR_CO_mass	CalcResult_FlaringThermaloxidizer	CO_mass	AGR	HSE_TO_AGR_{mode}_{type}_CO_mass
HSE_TO_AGR_Normal_EOR_CS2	CalcResult_FlaringThermaloxidizer	CS2	AGR	HSE_TO_AGR_{mode}_{type}_CS2
HSE_TO_AGR_Normal_EOR_CS2_mass	CalcResult_FlaringThermaloxidizer	CS2_mass	AGR	HSE_TO_AGR_{mode}_{type}_CS2_mass
HSE_TO_AGR_Normal_EOR_ConcCarbonMonoxide	CalcResult_FlaringThermaloxidizer	ConcCarbonMonoxide	AGR	HSE_TO_AGR_{mode}_{type}_ConcCarbonMonoxide
HSE_TO_AGR_Normal_EOR_ConcNitrogenOxides	CalcResult_FlaringThermaloxidizer	ConcNitrogenOxides	AGR	HSE_TO_AGR_{mode}_{type}_ConcNitrogenOxides
HSE_TO_AGR_Normal_EOR_Density0	CalcResult_FlaringThermaloxidizer	Density0	AGR	HSE_TO_AGR_{mode}_{type}_Density0
HSE_TO_AGR_Normal_EOR_EBenzene	CalcResult_FlaringThermaloxidizer	EBenzene	AGR	HSE_TO_AGR_{mode}_{type}_EBenzene
HSE_TO_AGR_Normal_EOR_EBenzene_mass	CalcResult_FlaringThermaloxidizer	EBenzene_mass	AGR	HSE_TO_AGR_{mode}_{type}_EBenzene_mass
HSE_TO_AGR_Normal_EOR_EC_CH4_gsec	CalcResult_FlaringThermaloxidizer	EC_CH4_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_CH4_gsec
HSE_TO_AGR_Normal_EOR_EC_CH4_tonn	CalcResult_FlaringThermaloxidizer	EC_CH4_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_CH4_tonn
HSE_TO_AGR_Normal_EOR_EC_CO_gsec	CalcResult_FlaringThermaloxidizer	EC_CO_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_CO_gsec
HSE_TO_AGR_Normal_EOR_EC_CO_tonn	CalcResult_FlaringThermaloxidizer	EC_CO_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_CO_tonn
HSE_TO_AGR_Normal_EOR_EC_NO2_gsec	CalcResult_FlaringThermaloxidizer	EC_NO2_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO2_gsec
HSE_TO_AGR_Normal_EOR_EC_NO2_tonn	CalcResult_FlaringThermaloxidizer	EC_NO2_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO2_tonn
HSE_TO_AGR_Normal_EOR_EC_NO_gsec	CalcResult_FlaringThermaloxidizer	EC_NO_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO_gsec
HSE_TO_AGR_Normal_EOR_EC_NO_tonn	CalcResult_FlaringThermaloxidizer	EC_NO_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO_tonn
HSE_TO_AGR_Normal_EOR_EC_SO2_gsec	CalcResult_FlaringThermaloxidizer	EC_SO2_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_SO2_gsec
HSE_TO_AGR_Normal_EOR_EC_SO2_tonn	CalcResult_FlaringThermaloxidizer	EC_SO2_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_SO2_tonn
HSE_TO_AGR_Normal_EOR_EMercaptan	CalcResult_FlaringThermaloxidizer	EMercaptan	AGR	HSE_TO_AGR_{mode}_{type}_EMercaptan
HSE_TO_AGR_Normal_EOR_EMercaptan_mass	CalcResult_FlaringThermaloxidizer	EMercaptan_mass	AGR	HSE_TO_AGR_{mode}_{type}_EMercaptan_mass
HSE_TO_AGR_Normal_EOR_Ethane	CalcResult_FlaringThermaloxidizer	Ethane	AGR	HSE_TO_AGR_{mode}_{type}_Ethane
HSE_TO_AGR_Normal_EOR_Ethane_mass	CalcResult_FlaringThermaloxidizer	Ethane_mass	AGR	HSE_TO_AGR_{mode}_{type}_Ethane_mass
HSE_TO_AGR_Normal_EOR_H2	CalcResult_FlaringThermaloxidizer	H2	AGR	HSE_TO_AGR_{mode}_{type}_H2
HSE_TO_AGR_Normal_EOR_H2O	CalcResult_FlaringThermaloxidizer	H2O	AGR	HSE_TO_AGR_{mode}_{type}_H2O
HSE_TO_AGR_Normal_EOR_H2O_mass	CalcResult_FlaringThermaloxidizer	H2O_mass	AGR	HSE_TO_AGR_{mode}_{type}_H2O_mass
HSE_TO_AGR_Normal_EOR_H2S	CalcResult_FlaringThermaloxidizer	H2S	AGR	HSE_TO_AGR_{mode}_{type}_H2S
HSE_TO_AGR_Normal_EOR_H2S_mass	CalcResult_FlaringThermaloxidizer	H2S_mass	AGR	HSE_TO_AGR_{mode}_{type}_H2S_mass
HSE_TO_AGR_Normal_EOR_H2_mass	CalcResult_FlaringThermaloxidizer	H2_mass	AGR	HSE_TO_AGR_{mode}_{type}_H2_mass
HSE_TO_AGR_Normal_EOR_Helium	CalcResult_FlaringThermaloxidizer	Helium	AGR	HSE_TO_AGR_{mode}_{type}_Helium
HSE_TO_AGR_Normal_EOR_Helium_mass	CalcResult_FlaringThermaloxidizer	Helium_mass	AGR	HSE_TO_AGR_{mode}_{type}_Helium_mass
HSE_TO_AGR_Normal_EOR_IC4_1	CalcResult_FlaringThermaloxidizer	IC4_1	AGR	HSE_TO_AGR_{mode}_{type}_IC4_1
HSE_TO_AGR_Normal_EOR_IC4_1_mass	CalcResult_FlaringThermaloxidizer	IC4_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_IC4_1_mass
HSE_TO_AGR_Normal_EOR_IC5_1	CalcResult_FlaringThermaloxidizer	IC5_1	AGR	HSE_TO_AGR_{mode}_{type}_IC5_1
HSE_TO_AGR_Normal_EOR_IC5_1_mass	CalcResult_FlaringThermaloxidizer	IC5_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_IC5_1_mass
HSE_TO_AGR_Normal_EOR_MMercaptan	CalcResult_FlaringThermaloxidizer	MMercaptan	AGR	HSE_TO_AGR_{mode}_{type}_MMercaptan
HSE_TO_AGR_Normal_EOR_MMercaptan_mass	CalcResult_FlaringThermaloxidizer	MMercaptan_mass	AGR	HSE_TO_AGR_{mode}_{type}_MMercaptan_mass
HSE_TO_AGR_Normal_EOR_Methane	CalcResult_FlaringThermaloxidizer	Methane	AGR	HSE_TO_AGR_{mode}_{type}_Methane
HSE_TO_AGR_Normal_EOR_Methane_mass	CalcResult_FlaringThermaloxidizer	Methane_mass	AGR	HSE_TO_AGR_{mode}_{type}_Methane_mass
HSE_TO_AGR_Normal_EOR_Methanol	CalcResult_FlaringThermaloxidizer	Methanol	AGR	HSE_TO_AGR_{mode}_{type}_Methanol
HSE_TO_AGR_Normal_EOR_Methanol_mass	CalcResult_FlaringThermaloxidizer	Methanol_mass	AGR	HSE_TO_AGR_{mode}_{type}_Methanol_mass
HSE_TO_AGR_Normal_EOR_MolecularWeight	CalcResult_FlaringThermaloxidizer	MolecularWeight	AGR	HSE_TO_AGR_{mode}_{type}_MolecularWeight
HSE_TO_AGR_Normal_EOR_NC4_1	CalcResult_FlaringThermaloxidizer	NC4_1	AGR	HSE_TO_AGR_{mode}_{type}_NC4_1
HSE_TO_AGR_Normal_EOR_NC4_1_mass	CalcResult_FlaringThermaloxidizer	NC4_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_NC4_1_mass
HSE_TO_AGR_Normal_EOR_NC5_1	CalcResult_FlaringThermaloxidizer	NC5_1	AGR	HSE_TO_AGR_{mode}_{type}_NC5_1
HSE_TO_AGR_Normal_EOR_NC5_1_mass	CalcResult_FlaringThermaloxidizer	NC5_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_NC5_1_mass
HSE_TO_AGR_Normal_EOR_NH3	CalcResult_FlaringThermaloxidizer	NH3	AGR	HSE_TO_AGR_{mode}_{type}_NH3
HSE_TO_AGR_Normal_EOR_NH3_mass	CalcResult_FlaringThermaloxidizer	NH3_mass	AGR	HSE_TO_AGR_{mode}_{type}_NH3_mass
HSE_TO_AGR_Normal_EOR_Nitrogen	CalcResult_FlaringThermaloxidizer	Nitrogen	AGR	HSE_TO_AGR_{mode}_{type}_Nitrogen
HSE_TO_AGR_Normal_EOR_Nitrogen_mass	CalcResult_FlaringThermaloxidizer	Nitrogen_mass	AGR	HSE_TO_AGR_{mode}_{type}_Nitrogen_mass
HSE_TO_AGR_Normal_EOR_O2	CalcResult_FlaringThermaloxidizer	O2	AGR	HSE_TO_AGR_{mode}_{type}_O2
HSE_TO_AGR_Normal_EOR_O2_mass	CalcResult_FlaringThermaloxidizer	O2_mass	AGR	HSE_TO_AGR_{mode}_{type}_O2_mass
HSE_TO_AGR_Normal_EOR_Propane	CalcResult_FlaringThermaloxidizer	Propane	AGR	HSE_TO_AGR_{mode}_{type}_Propane
HSE_TO_AGR_Normal_EOR_Propane_mass	CalcResult_FlaringThermaloxidizer	Propane_mass	AGR	HSE_TO_AGR_{mode}_{type}_Propane_mass
HSE_TO_AGR_Normal_EOR_SO2	CalcResult_FlaringThermaloxidizer	SO2	AGR	HSE_TO_AGR_{mode}_{type}_SO2
HSE_TO_AGR_Normal_EOR_SO2_mass	CalcResult_FlaringThermaloxidizer	SO2_mass	AGR	HSE_TO_AGR_{mode}_{type}_SO2_mass
HSE_TO_AGR_Normal_EOR_Sr	CalcResult_FlaringThermaloxidizer	Sr	AGR	HSE_TO_AGR_{mode}_{type}_Sr
