FormulaName	TargetTable	TargetColumn	Stage	Template
HSE_TO_AGR_Bypass_EOR_CO2	CalcResult_FlaringThermaloxidizer	CO2	AGR	HSE_TO_AGR_{mode}_{type}_CO2
HSE_TO_AGR_Bypass_EOR_CO2_mass	CalcResult_FlaringThermaloxidizer	CO2_mass	AGR	HSE_TO_AGR_{mode}_{type}_CO2_mass
HSE_TO_AGR_Bypass_EOR_COS	CalcResult_FlaringThermaloxidizer	COS	AGR	HSE_TO_AGR_{mode}_{type}_COS
HSE_TO_AGR_Bypass_EOR_COS_mass	CalcResult_FlaringThermaloxidizer	COS_mass	AGR	HSE_TO_AGR_{mode}_{type}_COS_mass
HSE_TO_AGR_Bypass_EOR_CO_mass	CalcResult_FlaringThermaloxidizer	CO_mass	AGR	HSE_TO_AGR_{mode}_{type}_CO_mass
HSE_TO_AGR_Bypass_EOR_CS2	CalcResult_FlaringThermaloxidizer	CS2	AGR	HSE_TO_AGR_{mode}_{type}_CS2
HSE_TO_AGR_Bypass_EOR_CS2_mass	CalcResult_FlaringThermaloxidizer	CS2_mass	AGR	HSE_TO_AGR_{mode}_{type}_CS2_mass
HSE_TO_AGR_Bypass_EOR_ConcCarbonMonoxide	CalcResult_FlaringThermaloxidizer	ConcCarbonMonoxide	AGR	HSE_TO_AGR_{mode}_{type}_ConcCarbonMonoxide
HSE_TO_AGR_Bypass_EOR_ConcNitrogenOxides	CalcResult_FlaringThermaloxidizer	ConcNitrogenOxides	AGR	HSE_TO_AGR_{mode}_{type}_ConcNitrogenOxides
HSE_TO_AGR_Bypass_EOR_Density0	CalcResult_FlaringThermaloxidizer	Density0	AGR	HSE_TO_AGR_{mode}_{type}_Density0
HSE_TO_AGR_Bypass_EOR_EBenzene	CalcResult_FlaringThermaloxidizer	EBenzene	AGR	HSE_TO_AGR_{mode}_{type}_EBenzene
HSE_TO_AGR_Bypass_EOR_EBenzene_mass	CalcResult_FlaringThermaloxidizer	EBenzene_mass	AGR	HSE_TO_AGR_{mode}_{type}_EBenzene_mass
HSE_TO_AGR_Bypass_EOR_EC_CH4_gsec	CalcResult_FlaringThermaloxidizer	EC_CH4_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_CH4_gsec
HSE_TO_AGR_Bypass_EOR_EC_CH4_tonn	CalcResult_FlaringThermaloxidizer	EC_CH4_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_CH4_tonn
HSE_TO_AGR_Bypass_EOR_EC_CO_gsec	CalcResult_FlaringThermaloxidizer	EC_CO_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_CO_gsec
HSE_TO_AGR_Bypass_EOR_EC_CO_tonn	CalcResult_FlaringThermaloxidizer	EC_CO_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_CO_tonn
HSE_TO_AGR_Bypass_EOR_EC_NO2_gsec	CalcResult_FlaringThermaloxidizer	EC_NO2_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO2_gsec
HSE_TO_AGR_Bypass_EOR_EC_NO2_tonn	CalcResult_FlaringThermaloxidizer	EC_NO2_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO2_tonn
HSE_TO_AGR_Bypass_EOR_EC_NO_gsec	CalcResult_FlaringThermaloxidizer	EC_NO_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO_gsec
HSE_TO_AGR_Bypass_EOR_EC_NO_tonn	CalcResult_FlaringThermaloxidizer	EC_NO_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_NO_tonn
HSE_TO_AGR_Bypass_EOR_EC_SO2_gsec	CalcResult_FlaringThermaloxidizer	EC_SO2_gsec	AGR	HSE_TO_AGR_{mode}_{type}_EC_SO2_gsec
HSE_TO_AGR_Bypass_EOR_EC_SO2_tonn	CalcResult_FlaringThermaloxidizer	EC_SO2_tonn	AGR	HSE_TO_AGR_{mode}_{type}_EC_SO2_tonn
HSE_TO_AGR_Bypass_EOR_EMercaptan	CalcResult_FlaringThermaloxidizer	EMercaptan	AGR	HSE_TO_AGR_{mode}_{type}_EMercaptan
HSE_TO_AGR_Bypass_EOR_EMercaptan_mass	CalcResult_FlaringThermaloxidizer	EMercaptan_mass	AGR	HSE_TO_AGR_{mode}_{type}_EMercaptan_mass
HSE_TO_AGR_Bypass_EOR_Ethane	CalcResult_FlaringThermaloxidizer	Ethane	AGR	HSE_TO_AGR_{mode}_{type}_Ethane
HSE_TO_AGR_Bypass_EOR_Ethane_mass	CalcResult_FlaringThermaloxidizer	Ethane_mass	AGR	HSE_TO_AGR_{mode}_{type}_Ethane_mass
HSE_TO_AGR_Bypass_EOR_H2	CalcResult_FlaringThermaloxidizer	H2	AGR	HSE_TO_AGR_{mode}_{type}_H2
HSE_TO_AGR_Bypass_EOR_H2O	CalcResult_FlaringThermaloxidizer	H2O	AGR	HSE_TO_AGR_{mode}_{type}_H2O
HSE_TO_AGR_Bypass_EOR_H2O_mass	CalcResult_FlaringThermaloxidizer	H2O_mass	AGR	HSE_TO_AGR_{mode}_{type}_H2O_mass
HSE_TO_AGR_Bypass_EOR_H2S	CalcResult_FlaringThermaloxidizer	H2S	AGR	HSE_TO_AGR_{mode}_{type}_H2S
HSE_TO_AGR_Bypass_EOR_H2S_mass	CalcResult_FlaringThermaloxidizer	H2S_mass	AGR	HSE_TO_AGR_{mode}_{type}_H2S_mass
HSE_TO_AGR_Bypass_EOR_H2_mass	CalcResult_FlaringThermaloxidizer	H2_mass	AGR	HSE_TO_AGR_{mode}_{type}_H2_mass
HSE_TO_AGR_Bypass_EOR_Helium	CalcResult_FlaringThermaloxidizer	Helium	AGR	HSE_TO_AGR_{mode}_{type}_Helium
HSE_TO_AGR_Bypass_EOR_Helium_mass	CalcResult_FlaringThermaloxidizer	Helium_mass	AGR	HSE_TO_AGR_{mode}_{type}_Helium_mass
HSE_TO_AGR_Bypass_EOR_IC4_1	CalcResult_FlaringThermaloxidizer	IC4_1	AGR	HSE_TO_AGR_{mode}_{type}_IC4_1
HSE_TO_AGR_Bypass_EOR_IC4_1_mass	CalcResult_FlaringThermaloxidizer	IC4_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_IC4_1_mass
HSE_TO_AGR_Bypass_EOR_IC5_1	CalcResult_FlaringThermaloxidizer	IC5_1	AGR	HSE_TO_AGR_{mode}_{type}_IC5_1
HSE_TO_AGR_Bypass_EOR_IC5_1_mass	CalcResult_FlaringThermaloxidizer	IC5_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_IC5_1_mass
HSE_TO_AGR_Bypass_EOR_MMercaptan	CalcResult_FlaringThermaloxidizer	MMercaptan	AGR	HSE_TO_AGR_{mode}_{type}_MMercaptan
HSE_TO_AGR_Bypass_EOR_MMercaptan_mass	CalcResult_FlaringThermaloxidizer	MMercaptan_mass	AGR	HSE_TO_AGR_{mode}_{type}_MMercaptan_mass
HSE_TO_AGR_Bypass_EOR_Methane	CalcResult_FlaringThermaloxidizer	Methane	AGR	HSE_TO_AGR_{mode}_{type}_Methane
HSE_TO_AGR_Bypass_EOR_Methane_mass	CalcResult_FlaringThermaloxidizer	Methane_mass	AGR	HSE_TO_AGR_{mode}_{type}_Methane_mass
HSE_TO_AGR_Bypass_EOR_Methanol	CalcResult_FlaringThermaloxidizer	Methanol	AGR	HSE_TO_AGR_{mode}_{type}_Methanol
HSE_TO_AGR_Bypass_EOR_Methanol_mass	CalcResult_FlaringThermaloxidizer	Methanol_mass	AGR	HSE_TO_AGR_{mode}_{type}_Methanol_mass
HSE_TO_AGR_Bypass_EOR_MolecularWeight	CalcResult_FlaringThermaloxidizer	MolecularWeight	AGR	HSE_TO_AGR_{mode}_{type}_MolecularWeight
HSE_TO_AGR_Bypass_EOR_NC4_1	CalcResult_FlaringThermaloxidizer	NC4_1	AGR	HSE_TO_AGR_{mode}_{type}_NC4_1
HSE_TO_AGR_Bypass_EOR_NC4_1_mass	CalcResult_FlaringThermaloxidizer	NC4_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_NC4_1_mass
HSE_TO_AGR_Bypass_EOR_NC5_1	CalcResult_FlaringThermaloxidizer	NC5_1	AGR	HSE_TO_AGR_{mode}_{type}_NC5_1
HSE_TO_AGR_Bypass_EOR_NC5_1_mass	CalcResult_FlaringThermaloxidizer	NC5_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_NC5_1_mass
HSE_TO_AGR_Bypass_EOR_NH3	CalcResult_FlaringThermaloxidizer	NH3	AGR	HSE_TO_AGR_{mode}_{type}_NH3
HSE_TO_AGR_Bypass_EOR_NH3_mass	CalcResult_FlaringThermaloxidizer	NH3_mass	AGR	HSE_TO_AGR_{mode}_{type}_NH3_mass
HSE_TO_AGR_Bypass_EOR_Nitrogen	CalcResult_FlaringThermaloxidizer	Nitrogen	AGR	HSE_TO_AGR_{mode}_{type}_Nitrogen
HSE_TO_AGR_Bypass_EOR_Nitrogen_mass	CalcResult_FlaringThermaloxidizer	Nitrogen_mass	AGR	HSE_TO_AGR_{mode}_{type}_Nitrogen_mass
HSE_TO_AGR_Bypass_EOR_O2	CalcResult_FlaringThermaloxidizer	O2	AGR	HSE_TO_AGR_{mode}_{type}_O2
HSE_TO_AGR_Bypass_EOR_O2_mass	CalcResult_FlaringThermaloxidizer	O2_mass	AGR	HSE_TO_AGR_{mode}_{type}_O2_mass
HSE_TO_AGR_Bypass_EOR_Propane	CalcResult_FlaringThermaloxidizer	Propane	AGR	HSE_TO_AGR_{mode}_{type}_Propane
HSE_TO_AGR_Bypass_EOR_Propane_mass	CalcResult_FlaringThermaloxidizer	Propane_mass	AGR	HSE_TO_AGR_{mode}_{type}_Propane_mass
HSE_TO_AGR_Bypass_EOR_SO2	CalcResult_FlaringThermaloxidizer	SO2	AGR	HSE_TO_AGR_{mode}_{type}_SO2
HSE_TO_AGR_Bypass_EOR_SO2_mass	CalcResult_FlaringThermaloxidizer	SO2_mass	AGR	HSE_TO_AGR_{mode}_{type}_SO2_mass
HSE_TO_AGR_Bypass_EOR_Sr	CalcResult_FlaringThermaloxidizer	Sr	AGR	HSE_TO_AGR_{mode}_{type}_Sr
HSE_TO_AGR_Bypass_EOR_Sulfur	CalcResult_FlaringThermaloxidizer	Sulfur	AGR	HSE_TO_AGR_{mode}_{type}_Sulfur
HSE_TO_AGR_Bypass_EOR_Sulfur_mass	CalcResult_FlaringThermaloxidizer	Sulfur_mass	AGR	HSE_TO_AGR_{mode}_{type}_Sulfur_mass
HSE_TO_AGR_Bypass_EOR_SumMCmHn	CalcResult_FlaringThermaloxidizer	SumMCmHn	AGR	HSE_TO_AGR_{mode}_{type}_SumMCmHn
HSE_TO_AGR_Bypass_EOR_SumMNCmHn	CalcResult_FlaringThermaloxidizer	Summn4CmHn	AGR	HSE_TO_AGR_{mode}_{type}_SumMNCmHn
HSE_TO_AGR_Bypass_EOR_SumNCmHn	CalcResult_FlaringThermaloxidizer	SumNCmHn	AGR	HSE_TO_AGR_{mode}_{type}_SumNCmHn
HSE_TO_AGR_Bypass_EOR_Toluene	CalcResult_FlaringThermaloxidizer	Toluene	AGR	HSE_TO_AGR_{mode}_{type}_Toluene
HSE_TO_AGR_Bypass_EOR_Toluene_mass	CalcResult_FlaringThermaloxidizer	Toluene_mass	AGR	HSE_TO_AGR_{mode}_{type}_Toluene_mass
HSE_TO_AGR_Bypass_EOR_TotalSumComposition	CalcResult_FlaringThermaloxidizer	TotalSumComposition	AGR	HSE_TO_AGR_{mode}_{type}_TotalSumComposition
HSE_TO_AGR_Bypass_EOR_TotalSumComposition_mass	CalcResult_FlaringThermaloxidizer	TotalSumComposition_mass	AGR	HSE_TO_AGR_{mode}_{type}_TotalSumComposition_mass
HSE_TO_AGR_Bypass_EOR_Vo	CalcResult_FlaringThermaloxidizer	Vo	AGR	HSE_TO_AGR_{mode}_{type}_Vo
HSE_TO_AGR_Bypass_EOR_VoH2O	CalcResult_FlaringThermaloxidizer	VoH2O	AGR	HSE_TO_AGR_{mode}_{type}_VoH2O
